Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Aid from the Cowl,AER,Aether Revolt,105,normal,rare,1,6309,565cb7fc-cf90-4020-84fe-05ec7b18709d,0.18,false,false,near_mint,fr,EUR
Airdrop Aeronauts,AER,Aether Revolt,5,normal,uncommon,1,6409,49827a57-cf10-4a44-a1fd-ac611da39dc9,0.06,false,false,near_mint,fr,EUR
Ajani's Aid,AER,Aether Revolt,188,normal,rare,2,6226,7026c374-0776-403b-86fd-5092677fd5c9,0.2,false,false,near_mint,fr,EUR
Ajani's Comrade,AER,Aether Revolt,187,normal,uncommon,3,6227,5bebef1c-2f03-4e0a-b3ba-861546ebf8a6,0.29,false,false,near_mint,fr,EUR
"Ajani, Valiant Protector",AER,Aether Revolt,185,foil,mythic,1,6229,791fdd9a-0ab6-4db9-84f9-859d2d862518,1.18,false,false,near_mint,fr,EUR
Armorcraft Judge,KLD,Kaladesh,144,normal,uncommon,2,7499,76b54854-c21f-47d3-99b2-72829fc66071,0.17,false,false,near_mint,fr,EUR
Audacious Infiltrator,AER,Aether Revolt,7,normal,common,3,6407,36a348bb-cdc5-4e2a-933f-21f91faab891,0.02,false,false,near_mint,fr,EUR
Daredevil Dragster,AER,Aether Revolt,149,normal,uncommon,1,6265,19bbbc98-0806-4226-8fd1-16b812334cee,0.12,false,false,near_mint,fr,EUR
Deadeye Harpooner,AER,Aether Revolt,15,normal,uncommon,1,6399,a018decf-25e1-45fc-be7d-2523dcfb7a4c,0.14,false,false,near_mint,fr,EUR
Engineered Might,KLD,Kaladesh,181,normal,uncommon,1,7462,675b5fc7-51b2-4425-b053-a5d19c1595e0,0.03,false,false,near_mint,fr,EUR
Forest,KLD,Kaladesh,264,normal,common,3,7379,bf8bd63e-303e-402c-9ad2-4f6e55ed0e14,0.06,false,false,near_mint,fr,EUR
Forest,KLD,Kaladesh,263,normal,common,3,7380,f2864a75-2945-4467-be00-3b4b71831f4f,0.04,false,false,near_mint,fr,EUR
Forest,KLD,Kaladesh,262,normal,common,3,7381,92e67efe-cc8a-4132-9019-26ddfc72a735,0.05,false,false,near_mint,fr,EUR
Ghirapur Guide,KLD,Kaladesh,156,normal,uncommon,1,7487,92b6ad4a-3701-4ee8-8e1e-46cdab8e730f,0.02,false,false,near_mint,fr,EUR
Inspiring Roar,AER,Aether Revolt,186,normal,common,4,6228,4ef9708e-bfe4-4d24-8304-1618daa1c3ee,0.15,false,false,near_mint,fr,EUR
Lifecraft Cavalry,AER,Aether Revolt,113,normal,common,2,6301,b2a92a03-4e1d-4b79-ad75-a29db2ea5495,0.09,false,false,near_mint,fr,EUR
Narnam Renegade,AER,Aether Revolt,117,normal,uncommon,2,6297,041cc6b1-61c8-4c34-86fc-d647ce306f59,0.35,false,false,near_mint,fr,EUR
Natural Obsolescence,AER,Aether Revolt,118,normal,common,1,6296,ff693e03-4cc6-4903-8fc4-388d23c2f92f,0.11,false,false,near_mint,fr,EUR
Oath of Ajani,AER,Aether Revolt,131,normal,rare,1,6283,968c7d5a-b037-4ff7-b6d2-df00adf5691b,0.56,false,false,near_mint,fr,EUR
Plains,KLD,Kaladesh,252,normal,common,3,7391,879162e8-3a10-40da-8d86-9a7dff67c961,0.04,false,false,near_mint,fr,EUR
Plains,KLD,Kaladesh,251,normal,common,2,7392,21e41416-bc0f-4e49-9137-df8572e91ae5,0.05,false,false,near_mint,fr,EUR
Plains,KLD,Kaladesh,250,normal,common,3,7393,32912b82-bbe5-4d70-817d-cd18bfdecacb,0.03,false,false,near_mint,fr,EUR
Renegade Map,AER,Aether Revolt,173,normal,common,3,6241,ac063445-d0e2-4015-96dc-97098433f30a,0.11,false,false,near_mint,fr,EUR
Ridgescale Tusker,AER,Aether Revolt,121,normal,uncommon,1,6293,84b689cc-35ef-4a23-bb1e-4d81b9fb8455,0.11,false,false,near_mint,fr,EUR
Silkweaver Elite,AER,Aether Revolt,125,normal,common,2,6289,d10938c8-6fc4-495f-912a-1d3f12278f78,0.04,false,false,near_mint,fr,EUR
Solemn Recruit,AER,Aether Revolt,22,normal,rare,1,6392,5990c2f1-94d7-4d2e-b1ad-6406c25b91aa,0.12,false,false,near_mint,fr,EUR
Tranquil Expanse,AER,Aether Revolt,189,normal,common,4,6225,2ea97c40-310e-4774-ae56-d4c0500a6189,0.15,false,false,near_mint,fr,EUR
Unbridled Growth,AER,Aether Revolt,126,normal,common,2,6288,393fc419-a6ce-447d-9994-744cf41f9a27,0.15,false,false,near_mint,fr,EUR
Verdant Automaton,AER,Aether Revolt,180,normal,common,2,6234,52c66c5a-0b1b-4936-9e07-2d169f16c1a6,0.03,false,false,near_mint,fr,EUR
