Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Abundance,C17,Commander 2017,145,normal,rare,1,4310,7f3fff7e-f34d-4a99-a805-bd66c4e9f0cb,0.81,false,false,near_mint,fr,EUR
Alms Collector,C17,Commander 2017,1,normal,rare,1,4454,9fe88f96-fd3a-44e5-aa05-3bc63581e33d,1.05,false,false,near_mint,fr,EUR
"Arahbo, Roar of the World",OC17,Commander 2017 Oversized,35,foil,mythic,1,4134,b298584e-eab0-41c6-a868-3bf72f41bf2c,0.39,false,false,near_mint,fr,EUR
"Arahbo, Roar of the World",C17,Commander 2017,35,foil,mythic,1,4420,81dc3d00-97cd-4549-b5a4-15a1e08767f5,22.42,false,false,near_mint,fr,EUR
Argentum Armor,C17,Commander 2017,202,normal,rare,1,4253,d2d72bc2-92c4-4525-b89f-25aa236fade8,0.6,false,false,near_mint,fr,EUR
"Balan, Wandering Knight",C17,Commander 2017,2,normal,rare,1,4453,5d0b279c-9a6d-4a56-878e-0ebf3f609f65,1.09,false,false,near_mint,fr,EUR
Behemoth Sledge,C17,Commander 2017,162,normal,uncommon,1,4293,c86f0453-f4ea-4f31-8076-e01c118b0f3d,0.22,false,false,near_mint,fr,EUR
Blighted Woodland,C17,Commander 2017,235,normal,uncommon,1,4220,d77eda51-6433-433f-8070-ab4a2ac01e2f,0.14,false,false,near_mint,fr,EUR
Bloodforged Battle-Axe,C17,Commander 2017,50,normal,rare,1,4405,b7f22249-579f-433d-9422-29d4e82ddc49,1.02,false,false,near_mint,fr,EUR
Blossoming Sands,C17,Commander 2017,237,normal,common,1,4218,8577b07c-c3e8-4492-8eaf-0281a4a0ceb9,0.12,false,false,near_mint,fr,EUR
Command Tower,C17,Commander 2017,242,normal,common,1,4213,d2b1183f-bfc6-425f-9089-8657f7c8822b,0.18,false,false,near_mint,fr,EUR
