Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Scryfall URL,Image URL,Prix
Abzan Battle Priest,MOC,March of the Machine Commander,164,normal,uncommon,1,81932,c0fb53e6-441f-4faa-bf0e-0847cf83279d,0.16,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/164/abzan-battle-priest?utm_source=api,https://cards.scryfall.io/normal/front/c/0/c0fb53e6-441f-4faa-bf0e-0847cf83279d.jpg?1682208222,0.17
Abzan Falconer,MOC,March of the Machine Commander,165,normal,uncommon,1,82050,f7e2b0e1-c9ea-4f91-b19e-73b1bd6a0884,0.23,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/165/abzan-falconer?utm_source=api,https://cards.scryfall.io/normal/front/f/7/f7e2b0e1-c9ea-4f91-b19e-73b1bd6a0884.jpg?1682208232,0.22
"Alharu, Solemn Ritualist",CMM,Commander Masters,8,normal,uncommon,1,84278,3fdf5020-ea97-4f95-a096-cb5688dad2e2,0.05,False,False,near_mint,fr,EUR,https://scryfall.com/card/cmm/8/alharu-solemn-ritualist?utm_source=api,https://cards.scryfall.io/normal/front/3/f/3fdf5020-ea97-4f95-a096-cb5688dad2e2.jpg?1689995476,0.05
Arcane Signet,MOC,March of the Machine Commander,348,normal,common,1,81738,6fc44891-b291-4234-8e11-a3d86ec26c83,0.43,False,False,near_mint,fr,EUR,https://scryfall.com/card/otc/252/arcane-signet?utm_source=api,https://cards.scryfall.io/normal/front/2/b/2bfeb9dc-0bf7-4f19-9714-b14114e4627f.jpg?1712354835,0.24
Armorcraft Judge,MOC,March of the Machine Commander,291,normal,uncommon,1,81957,cb0698bd-03fa-4de8-a98c-87c45b83c254,0.18,False,False,near_mint,fr,EUR,https://scryfall.com/card/cmm/273/armorcraft-judge?utm_source=api,https://cards.scryfall.io/normal/front/5/b/5b76074c-65ca-40e9-b125-4668d3431820.jpg?1689998353,0.16
Brawn,MOC,March of the Machine Commander,292,normal,uncommon,1,81800,8c05568e-fa50-46e9-aec4-1ba5e814029e,0.22,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/292/brawn?utm_source=api,https://cards.scryfall.io/normal/front/8/c/8c05568e-fa50-46e9-aec4-1ba5e814029e.jpg?1682209444,0.21
Bretagard Stronghold,MOC,March of the Machine Commander,392,normal,uncommon,1,81723,67733bb9-9151-4ddc-b104-e48328bd1b28,0.22,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/392/bretagard-stronghold?utm_source=api,https://cards.scryfall.io/normal/front/6/7/67733bb9-9151-4ddc-b104-e48328bd1b28.jpg?1682210345,0.22
"Bright-Palm, Soul Awakener",MOC,March of the Machine Commander,1,foil,mythic,1,81183,a485c2c3-c90b-43b4-bb00-c1b811b4b392,0.22,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/1/bright-palm-soul-awakener?utm_source=api,https://cards.scryfall.io/normal/front/a/4/a485c2c3-c90b-43b4-bb00-c1b811b4b392.jpg?1682207202,0.29
Canopy Vista,MOC,March of the Machine Commander,393,normal,rare,1,81621,3ebce74e-35e8-4e19-9979-01b9e2c100f7,0.29,False,False,near_mint,fr,EUR,https://scryfall.com/card/mkc/252/canopy-vista?utm_source=api,https://cards.scryfall.io/normal/front/b/7/b76f2de1-ea17-40b0-8d90-4c4369516eff.jpg?1706241128,0.22
Champion of Lambholt,MOC,March of the Machine Commander,293,normal,rare,1,81647,46eff31d-f460-48f2-aab7-8b9b89cd87fe,0.55,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/293/champion-of-lambholt?utm_source=api,https://cards.scryfall.io/normal/front/4/6/46eff31d-f460-48f2-aab7-8b9b89cd87fe.jpg?1682209453,0.62
Cinder Glade,MOC,March of the Machine Commander,395,normal,rare,1,81536,179e6e1d-cc0e-4937-b0ce-6d03cbe576b7,0.32,False,False,near_mint,fr,EUR,https://scryfall.com/card/mkc/255/cinder-glade?utm_source=api,https://cards.scryfall.io/normal/front/1/0/10caa17e-3892-435a-8f48-f3d6e4619114.jpg?1706241136,0.26
Command Tower,MOC,March of the Machine Commander,396,normal,common,1,81814,91b73884-6850-479d-8531-e17c8531a245,0.21,False,False,near_mint,fr,EUR,https://scryfall.com/card/otc/280/command-tower?utm_source=api,https://cards.scryfall.io/normal/front/d/1/d1d019fb-0498-454b-a03b-4f396def718b.jpg?1712354953,0.12
Commander's Sphere,MOC,March of the Machine Commander,352,normal,common,1,81951,c8ffce25-18a5-4232-aa7c-d5c1a88e6052,0.16,False,False,near_mint,fr,EUR,https://scryfall.com/card/lcc/301/commanders-sphere?utm_source=api,https://cards.scryfall.io/normal/front/c/6/c643146f-da7b-4cc0-b874-4accad99ccce.jpg?1698988506,0.11
Conclave Mentor,MOC,March of the Machine Commander,320,normal,uncommon,1,81944,c6d36786-6e36-4a9b-97ad-ad7d9d2b8d92,0.2,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/320/conclave-mentor?utm_source=api,https://cards.scryfall.io/normal/front/c/6/c6d36786-6e36-4a9b-97ad-ad7d9d2b8d92.jpg?1682209691,0.18
Conclave Sledge-Captain,MOC,March of the Machine Commander,36,normal,rare,1,81418,99ad5807-2adc-40d7-b398-d03fd2cd58b9,0.49,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/36/conclave-sledge-captain?utm_source=api,https://cards.scryfall.io/normal/front/9/9/99ad5807-2adc-40d7-b398-d03fd2cd58b9.jpg?1682207516,0.52
Constable of the Realm,MOC,March of the Machine Commander,179,normal,uncommon,1,81839,a1000f3c-475e-49b8-8c98-bbff0e7ed87b,0.11,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/179/constable-of-the-realm?utm_source=api,https://cards.scryfall.io/normal/front/a/1/a1000f3c-475e-49b8-8c98-bbff0e7ed87b.jpg?1682208361,0.11
Cultivate,MOC,March of the Machine Commander,295,normal,common,1,81722,66a82a81-9b3e-421c-b916-15f40f359bf8,0.45,False,False,near_mint,fr,EUR,https://scryfall.com/card/lcc/235/cultivate?utm_source=api,https://cards.scryfall.io/normal/front/e/1/e19cd136-0541-4db0-997f-20a58ec8d028.jpg?1698988348,0.91
Death-Greeter's Champion,MOC,March of the Machine Commander,30,normal,rare,1,81128,7cb2b582-1c45-4bb2-8aef-59a71a5a9e94,0.17,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/30/death-greeters-champion?utm_source=api,https://cards.scryfall.io/normal/front/7/c/7cb2b582-1c45-4bb2-8aef-59a71a5a9e94.jpg?1682207462,0.25
Dromoka's Command,MOC,March of the Machine Commander,323,normal,rare,1,81635,43571705-6d53-4ec1-9159-c9c98771b3b6,0.26,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/323/dromokas-command?utm_source=api,https://cards.scryfall.io/normal/front/4/3/43571705-6d53-4ec1-9159-c9c98771b3b6.jpg?1682209719,0.33
Elite Scaleguard,MOC,March of the Machine Commander,181,normal,uncommon,1,81882,af5b1e9e-8342-442d-8305-d9a2c5845ed5,0.08,False,False,near_mint,fr,EUR,https://scryfall.com/card/cmm/22/elite-scaleguard?utm_source=api,https://cards.scryfall.io/normal/front/d/0/d0ca5bcc-f49f-4370-9f95-031836bb771b.jpg?1689995651,0.11
Emergent Woodwurm,MOC,March of the Machine Commander,37,normal,rare,1,81431,af1b9c3d-5700-4298-a6a5-9379cad8726e,0.38,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/37/emergent-woodwurm?utm_source=api,https://cards.scryfall.io/normal/front/a/f/af1b9c3d-5700-4298-a6a5-9379cad8726e.jpg?1682207525,0.31
Enduring Scalelord,MOC,March of the Machine Commander,325,normal,uncommon,1,81931,c0ee001b-6ddb-478e-a407-58bcc2bf7c30,0.17,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/325/enduring-scalelord?utm_source=api,https://cards.scryfall.io/normal/front/c/0/c0ee001b-6ddb-478e-a407-58bcc2bf7c30.jpg?1682209736,0.18
Evolving Wilds,MOC,March of the Machine Commander,397,normal,common,1,81947,c78d5616-32dc-45ca-a1b2-d6b4f7951393,0.22,False,False,near_mint,fr,EUR,https://scryfall.com/card/otc/292/evolving-wilds?utm_source=api,https://cards.scryfall.io/normal/front/7/e/7e5b3834-2bef-4685-972f-64852dd71aa4.jpg?1712355006,0.28
Exotic Orchard,MOC,March of the Machine Commander,398,normal,rare,1,81562,2448d4fb-f327-4a68-b5ce-806f63425f0a,0.2,False,False,near_mint,fr,EUR,https://scryfall.com/card/otc/293/exotic-orchard?utm_source=api,https://cards.scryfall.io/normal/front/3/d/3da63d3f-3752-48cd-8ea4-0ce08b1b8c21.jpg?1712355009,0.18
Falkenrath Exterminator,MOC,March of the Machine Commander,276,normal,uncommon,1,81751,75cb8891-90bc-41d9-96ff-e24564d3970e,0.29,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/276/falkenrath-exterminator?utm_source=api,https://cards.scryfall.io/normal/front/7/5/75cb8891-90bc-41d9-96ff-e24564d3970e.jpg?1682209303,0.26
Fertilid,MOC,March of the Machine Commander,296,normal,common,1,81586,2d73ea23-52ab-4b92-b263-dc8b9e5a1010,0.08,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/296/fertilid?utm_source=api,https://cards.scryfall.io/normal/front/2/d/2d73ea23-52ab-4b92-b263-dc8b9e5a1010.jpg?1682209480,0.08
Field of Ruin,MOC,March of the Machine Commander,400,normal,uncommon,1,81529,143147d2-2eec-41e7-b78a-592288b38630,0.19,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/400/field-of-ruin?utm_source=api,https://cards.scryfall.io/normal/front/1/4/143147d2-2eec-41e7-b78a-592288b38630.jpg?1682210418,0.16
Flamerush Rider,MOC,March of the Machine Commander,279,normal,rare,1,81513,0de4181f-652e-4eab-8de0-57a346c51994,0.14,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/279/flamerush-rider?utm_source=api,https://cards.scryfall.io/normal/front/0/d/0de4181f-652e-4eab-8de0-57a346c51994.jpg?1682209328,0.14
Flameshadow Conjuring,MOC,March of the Machine Commander,280,normal,rare,1,81877,ae113258-288f-47d5-8f79-e2e51b6326de,0.92,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/280/flameshadow-conjuring?utm_source=api,https://cards.scryfall.io/normal/front/a/e/ae113258-288f-47d5-8f79-e2e51b6326de.jpg?1682209337,0.92
Forest,MOM,March of the Machine,281,normal,common,6,81134,80716ed1-8d0e-44e6-8b18-606e80d22181,0.08,False,False,near_mint,fr,EUR,https://scryfall.com/card/otj/285/forest?utm_source=api,https://cards.scryfall.io/normal/front/d/c/dc20a07e-5f92-49c2-9c97-d5eda536d3f6.jpg?1712356446,
Forgotten Ancient,MOC,March of the Machine Commander,297,normal,rare,1,81813,90fc94d9-b8af-4de8-a42d-ae508f8f1cd5,0.26,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/297/forgotten-ancient?utm_source=api,https://cards.scryfall.io/normal/front/9/0/90fc94d9-b8af-4de8-a42d-ae508f8f1cd5.jpg?1682209488,0.29
Fortified Village,MOC,March of the Machine Commander,401,normal,rare,1,81527,13c942f1-fe8e-4a2f-a9c6-6f71501545e6,0.16,False,False,near_mint,fr,EUR,https://scryfall.com/card/mkc/262/fortified-village?utm_source=api,https://cards.scryfall.io/normal/front/e/b/eb2e9534-2eda-4e41-8a87-181e5eb8c328.jpg?1706241159,0.16
