Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Abzan Battle Priest,MOC,March of the Machine Commander,164,normal,uncommon,1,81932,c0fb53e6-441f-4faa-bf0e-0847cf83279d,0.16,false,false,near_mint,fr,EUR
Abzan Falconer,MOC,March of the Machine Commander,165,normal,uncommon,1,82050,f7e2b0e1-c9ea-4f91-b19e-73b1bd6a0884,0.23,false,false,near_mint,fr,EUR
"Alharu, Solemn Ritualist",CMM,Commander Masters,8,normal,uncommon,1,84278,3fdf5020-ea97-4f95-a096-cb5688dad2e2,0.05,false,false,near_mint,fr,EUR
Arcane Signet,MOC,March of the Machine Commander,348,normal,common,1,81738,6fc44891-b291-4234-8e11-a3d86ec26c83,0.43,false,false,near_mint,fr,EUR
Armorcraft Judge,MOC,March of the Machine Commander,291,normal,uncommon,1,81957,cb0698bd-03fa-4de8-a98c-87c45b83c254,0.18,false,false,near_mint,fr,EUR
Brawn,MOC,March of the Machine Commander,292,normal,uncommon,1,81800,8c05568e-fa50-46e9-aec4-1ba5e814029e,0.22,false,false,near_mint,fr,EUR
Bretagard Stronghold,MOC,March of the Machine Commander,392,normal,uncommon,1,81723,67733bb9-9151-4ddc-b104-e48328bd1b28,0.22,false,false,near_mint,fr,EUR
"Bright-Palm, Soul Awakener",MOC,March of the Machine Commander,1,foil,mythic,1,81183,a485c2c3-c90b-43b4-bb00-c1b811b4b392,0.22,false,false,near_mint,fr,EUR
Canopy Vista,MOC,March of the Machine Commander,393,normal,rare,1,81621,3ebce74e-35e8-4e19-9979-01b9e2c100f7,0.29,false,false,near_mint,fr,EUR
Champion of Lambholt,MOC,March of the Machine Commander,293,normal,rare,1,81647,46eff31d-f460-48f2-aab7-8b9b89cd87fe,0.55,false,false,near_mint,fr,EUR
Cinder Glade,MOC,March of the Machine Commander,395,normal,rare,1,81536,179e6e1d-cc0e-4937-b0ce-6d03cbe576b7,0.32,false,false,near_mint,fr,EUR
Command Tower,MOC,March of the Machine Commander,396,normal,common,1,81814,91b73884-6850-479d-8531-e17c8531a245,0.21,false,false,near_mint,fr,EUR
Commander's Sphere,MOC,March of the Machine Commander,352,normal,common,1,81951,c8ffce25-18a5-4232-aa7c-d5c1a88e6052,0.16,false,false,near_mint,fr,EUR
Conclave Mentor,MOC,March of the Machine Commander,320,normal,uncommon,1,81944,c6d36786-6e36-4a9b-97ad-ad7d9d2b8d92,0.2,false,false,near_mint,fr,EUR
Conclave Sledge-Captain,MOC,March of the Machine Commander,36,normal,rare,1,81418,99ad5807-2adc-40d7-b398-d03fd2cd58b9,0.49,false,false,near_mint,fr,EUR
Constable of the Realm,MOC,March of the Machine Commander,179,normal,uncommon,1,81839,a1000f3c-475e-49b8-8c98-bbff0e7ed87b,0.11,false,false,near_mint,fr,EUR
Cultivate,MOC,March of the Machine Commander,295,normal,common,1,81722,66a82a81-9b3e-421c-b916-15f40f359bf8,0.45,false,false,near_mint,fr,EUR
Death-Greeter's Champion,MOC,March of the Machine Commander,30,normal,rare,1,81128,7cb2b582-1c45-4bb2-8aef-59a71a5a9e94,0.17,false,false,near_mint,fr,EUR
Dromoka's Command,MOC,March of the Machine Commander,323,normal,rare,1,81635,43571705-6d53-4ec1-9159-c9c98771b3b6,0.26,false,false,near_mint,fr,EUR
Elite Scaleguard,MOC,March of the Machine Commander,181,normal,uncommon,1,81882,af5b1e9e-8342-442d-8305-d9a2c5845ed5,0.08,false,false,near_mint,fr,EUR
Emergent Woodwurm,MOC,March of the Machine Commander,37,normal,rare,1,81431,af1b9c3d-5700-4298-a6a5-9379cad8726e,0.38,false,false,near_mint,fr,EUR
Enduring Scalelord,MOC,March of the Machine Commander,325,normal,uncommon,1,81931,c0ee001b-6ddb-478e-a407-58bcc2bf7c30,0.17,false,false,near_mint,fr,EUR
Evolving Wilds,MOC,March of the Machine Commander,397,normal,common,1,81947,c78d5616-32dc-45ca-a1b2-d6b4f7951393,0.22,false,false,near_mint,fr,EUR
Exotic Orchard,MOC,March of the Machine Commander,398,normal,rare,1,81562,2448d4fb-f327-4a68-b5ce-806f63425f0a,0.2,false,false,near_mint,fr,EUR
Falkenrath Exterminator,MOC,March of the Machine Commander,276,normal,uncommon,1,81751,75cb8891-90bc-41d9-96ff-e24564d3970e,0.29,false,false,near_mint,fr,EUR
Fertilid,MOC,March of the Machine Commander,296,normal,common,1,81586,2d73ea23-52ab-4b92-b263-dc8b9e5a1010,0.08,false,false,near_mint,fr,EUR
Field of Ruin,MOC,March of the Machine Commander,400,normal,uncommon,1,81529,143147d2-2eec-41e7-b78a-592288b38630,0.19,false,false,near_mint,fr,EUR
Flamerush Rider,MOC,March of the Machine Commander,279,normal,rare,1,81513,0de4181f-652e-4eab-8de0-57a346c51994,0.14,false,false,near_mint,fr,EUR
Flameshadow Conjuring,MOC,March of the Machine Commander,280,normal,rare,1,81877,ae113258-288f-47d5-8f79-e2e51b6326de,0.92,false,false,near_mint,fr,EUR
