Binder Name,Binder Type,Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Collection,binder,Iridescent Hornbeetle,ZNR,Zendikar Rising,187,normal,uncommon,1,54475,214ef641-b08c-42d0-94a5-3054fa7fcebc,0.1,false,false,near_mint,en,EUR
Collection,binder,Skyclave Pick-Axe,ZNR,Zendikar Rising,204,normal,uncommon,1,54662,9965a54b-8b22-418c-9a0d-bf154932f2e2,0.1,false,false,near_mint,en,EUR
Collection,binder,Feline Sovereign,M21,Core Set 2021,180,normal,rare,1,50881,84a9485a-d356-4cbe-b257-b62008a21328,0.38,false,false,near_mint,en,EUR
Plus One ,binder,Armorcraft Judge,CMM,Commander Masters,273,normal,uncommon,1,84398,5b76074c-65ca-40e9-b125-4668d3431820,0.16,false,false,near_mint,en,EUR
Collection,binder,Armorcraft Judge,JMP,Jumpstart,377,normal,uncommon,2,51463,b9bd60d3-d2d3-4b69-bd08-04833ff2394e,0.16,false,false,near_mint,en,EUR
Collection,binder,Enlarge,2XM,Double Masters,166,normal,uncommon,1,52095,0f4e699f-5f2c-4487-8a40-42be6f561631,0.12,false,false,near_mint,en,EUR
Collection,binder,Enlarge,JMP,Jumpstart,392,normal,uncommon,1,51361,8b9f4647-4214-4f11-8995-72e149592e2f,0.12,false,false,near_mint,en,EUR
Plus One ,binder,Invigorating Surge,M21,Core Set 2021,190,normal,uncommon,2,50807,531e1fc0-a3aa-4b57-87b2-79a31af5c922,0.2,false,false,near_mint,en,EUR
Collection,binder,Keeper of Fables,ZNC,Zendikar Rising Commander,71,normal,uncommon,1,55366,3e7d8c13-bfab-4501-8773-64adbfeb0957,0.13,false,false,near_mint,en,EUR
Collection,binder,Keeper of Fables,JMP,Jumpstart,407,normal,uncommon,1,51210,3c21c795-e455-4ecf-a7a2-8f204c114c81,0.13,false,false,near_mint,en,EUR
Collection,binder,Nessian Hornbeetle,JMP,Jumpstart,413,normal,uncommon,1,51542,e1900efd-262a-4eef-a8e8-238801466a88,0.02,false,false,near_mint,en,EUR
Plus One ,binder,Nessian Hornbeetle,JMP,Jumpstart,413,normal,uncommon,1,51542,e1900efd-262a-4eef-a8e8-238801466a88,0.02,false,false,near_mint,en,EUR
Plus One ,binder,Wildwood Scourge,CMM,Commander Masters,332,normal,uncommon,1,84800,bb35e40f-bbcf-4e2b-9603-7719c74dc076,0.15,false,false,near_mint,en,EUR
Collection,binder,Wildwood Scourge,M21,Core Set 2021,214,normal,uncommon,1,50792,46ff0b33-d153-4b0e-ac48-7e5ed70dea09,0.15,false,false,near_mint,en,EUR
Collection,binder,Arbor Armament,JMP,Jumpstart,376,normal,common,1,51311,71c10923-a5b3-4b50-ae51-59982e05963a,0.05,false,false,near_mint,en,EUR
Plus One ,binder,Arbor Armament,JMP,Jumpstart,376,normal,common,1,51311,71c10923-a5b3-4b50-ae51-59982e05963a,0.05,false,false,near_mint,en,EUR
Collection,binder,Crushing Canopy,JMP,Jumpstart,386,normal,common,2,51106,01398f5f-f38e-45a7-b755-e65c8fa779f8,0.04,false,false,near_mint,en,EUR
