Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Aethersquall Ancient,KLD,Kaladesh,39,normal,rare,1,7604,55127a25-dc64-4f26-ae50-ed7247c22ae6,0.16,false,false,near_mint,fr,EUR
Aethertide Whale,AER,Aether Revolt,27,foil,rare,1,6387,38722c25-13a7-47af-a4cd-90722f289499,0.46,false,false,near_mint,fr,EUR
Appetite for the Unnatural,KLD,Kaladesh,141,normal,common,1,7502,b8aa8840-31f8-4263-b992-40584e31595a,0.02,false,false,near_mint,fr,EUR
Arbor Colossus,THS,Theros,150,normal,rare,1,15514,dfbd7c65-ebe5-47a6-8d2f-9a8c63a30a7b,0.12,false,false,near_mint,fr,EUR
Arborback Stomper,KLD,Kaladesh,142,normal,uncommon,2,7501,788b9d55-6679-4fcc-a3af-11d31e477421,0.08,false,false,near_mint,fr,EUR
Attune with Aether,KLD,Kaladesh,145,normal,common,3,7498,32b0707d-241e-4ced-9251-b16af4fef2cb,0.06,false,false,near_mint,fr,EUR
"Baral, Chief of Compliance",AER,Aether Revolt,28,normal,rare,1,6386,60e16d94-1166-4050-8554-686e153a7f80,1.19,false,false,near_mint,fr,EUR
Blustersquall,RTR,Return to Ravnica,30,normal,uncommon,1,17392,d998847b-323d-406a-b08e-0da66edcc7b3,0.25,false,false,near_mint,fr,EUR
Bristling Hydra,KLD,Kaladesh,147,normal,rare,1,7496,4bf38096-05bc-4734-b33c-eb1e8f2986de,0.18,false,false,near_mint,fr,EUR
Courser of Kruphix,BNG,Born of the Gods,119,normal,rare,1,14841,da5a807f-58e8-4d92-a61c-47bb9b28977f,1.02,false,false,near_mint,fr,EUR
Empyreal Voyager,KLD,Kaladesh,180,normal,uncommon,2,7463,4554b10e-9c3e-4eb4-b0fe-044e483e872f,0.04,false,false,near_mint,fr,EUR
Fated Intervention,CP1,Magic 2015 Clash Pack,2,foil,rare,1,13856,1129b8cb-6381-4d17-9e45-a61f9558d312,0.19,false,false,near_mint,fr,EUR
Forest,KLD,Kaladesh,264,normal,common,3,7379,bf8bd63e-303e-402c-9ad2-4f6e55ed0e14,0.06,false,false,near_mint,fr,EUR
Forest,KLD,Kaladesh,263,normal,common,3,7380,f2864a75-2945-4467-be00-3b4b71831f4f,0.04,false,false,near_mint,fr,EUR
Forest,KLD,Kaladesh,262,normal,common,3,7381,92e67efe-cc8a-4132-9019-26ddfc72a735,0.05,false,false,near_mint,fr,EUR
Glimmer of Genius,KLD,Kaladesh,49,normal,uncommon,1,7594,19f1673d-c92c-43be-8648-af7fbc790421,0.15,false,false,near_mint,fr,EUR
Guardian of the Great Conduit,KLD,Kaladesh,271,normal,uncommon,3,7372,72638ac5-84fd-4688-9b81-0eea3c05e53e,0.13,false,false,near_mint,fr,EUR
Hydra Broodmaster,CP1,Magic 2015 Clash Pack,4,foil,rare,1,13854,a0c9a2c4-e30a-480f-946f-bd9ec4751b99,0.68,false,false,near_mint,fr,EUR
Island,KLD,Kaladesh,255,foil,common,1,7388,197080a9-ebb5-4a8b-81f8-0368c5bba35a,0.23,false,false,near_mint,fr,EUR
Island,KLD,Kaladesh,255,normal,common,2,7388,197080a9-ebb5-4a8b-81f8-0368c5bba35a,0.08,false,false,near_mint,fr,EUR
Island,KLD,Kaladesh,254,normal,common,3,7389,086d6aed-1f7e-4a80-8d66-01d995f344ed,0.11,false,false,near_mint,fr,EUR
Island,KLD,Kaladesh,253,normal,common,1,7390,8ca139d8-08a1-45d4-be9d-2ee5c9b3de43,0.09,false,false,near_mint,fr,EUR
Janjeet Sentry,KLD,Kaladesh,53,normal,uncommon,2,7590,826b9080-2b6d-4f4e-93a6-cf977d40654f,0.14,false,false,near_mint,fr,EUR
Long-Finned Skywhale,KLD,Kaladesh,54,normal,uncommon,2,7589,772e9472-c710-474e-b8e9-54662330a592,0.05,false,false,near_mint,fr,EUR
Longtusk Cub,KLD,Kaladesh,161,normal,uncommon,2,7482,c4de778a-4419-49a5-9dcf-5d0095c873fa,0.08,false,false,near_mint,fr,EUR
Malfunction,KLD,Kaladesh,55,normal,common,2,7588,c41f907f-4512-4c5d-827b-fef04613d641,0.03,false,false,near_mint,fr,EUR
Minister of Inquiries,KLD,Kaladesh,57,normal,uncommon,1,7586,0e6c31d1-6e2a-41b3-aa4f-d30a7cd997d2,0.14,false,false,near_mint,fr,EUR
"Nissa, Nature's Artisan",KLD,Kaladesh,270,foil,mythic,1,7373,777533c3-0a87-4625-8987-d850fc236ddb,1.8,false,false,near_mint,fr,EUR
Riparian Tiger,KLD,Kaladesh,167,normal,common,1,7476,ccf7e050-9631-431c-bcae-f74d91d537b0,0.03,false,false,near_mint,fr,EUR
Sage of Shaila's Claim,KLD,Kaladesh,168,normal,common,1,7475,0987d29a-2043-4341-89d5-5e34bb6507e2,0.06,false,false,near_mint,fr,EUR
Servant of the Conduit,KLD,Kaladesh,169,normal,uncommon,2,7474,9ce9cf30-4baa-4f28-84e8-b9b1168a40e0,0.11,false,false,near_mint,fr,EUR
Terrain Elemental,KLD,Kaladesh,272,normal,common,3,7371,32b89e5c-ffb4-406f-99d1-ec2797aca061,0.21,false,false,near_mint,fr,EUR
Thriving Rhino,KLD,Kaladesh,171,normal,common,2,7472,5acf10ec-f2dd-4569-909b-ac52a9ed6adf,0.03,false,false,near_mint,fr,EUR
Thriving Turtle,KLD,Kaladesh,66,normal,common,2,7577,61a112a3-ae4e-4aba-86ac-74a8960a6326,0.08,false,false,near_mint,fr,EUR
Verdant Crescendo,KLD,Kaladesh,273,normal,rare,1,7370,ea890019-f48f-4164-b057-773499ef273f,0.24,false,false,near_mint,fr,EUR
Woodland Stream,KLD,Kaladesh,274,normal,common,4,7369,a333bbdc-5af7-4679-b263-3aaa056452a0,0.08,false,false,near_mint,fr,EUR
